ID,Name,Supertype,Type,Domains,Rarity,Energy Cost,Power Cost,Might,Rules Text,Effect Text,Champion Tag,Other Tags,Flavor Text,Has Errata
SFD-146,"Vex, Cheerless",Champion,Unit,Chaos,Rare,5,1,5,"While I'm in combat, friendly spells cost [1][A] less to a minimum of [1], and enemy spells cost [1][A] more.",,Vex,"Shadow Isles, Yordle","""Let's turn these smiles upside down.""",FALSE
SFD-147,Downwell,,Spell,Chaos,Epic,8,2,,Return all units and gear to their owners' hands.,,,,Sunk costs have a very painful definition in Bilgewater Bay.,FALSE
SFD-148,"Draven, Audacious",Champion,Unit,Chaos,Epic,6,1,6,"[Deflect]
The first time I win a combat each turn, you score 1 point.
When I die in combat, choose an opponent. They score 1 point.",,Draven,Noxus,,FALSE
SFD-149,"Ezreal, Prodigy",Champion,Unit,Chaos,Epic,3,1,3,"When you play me, discard 1, then draw 2.
Optional addtional costs you pay cost [1] or [A] less.",,Ezreal,Piltover,"""Who needs a map?""",FALSE
SFD-150,Last Rites,,Gear,Chaos,Epic,3,,,"[Equip] — [P], Recycle 2 cards from your trash.","Whenever I conquer or hold, you may play a unit from your trash.",,Equipment,,FALSE
SFD-151,Bonds of Strength,,Spell,Order,Common,2,,,"[Reaction]
[Repeat] [2]
Give 2 friendly units each +1[M] this turn.",,,,A vow is stronger than the words that make it.,FALSE
SFD-152,Eminent Benefactor,,Unit,Order,Common,6,,5,"When I hold, play two Gold gear tokens exhausted.",,,Piltover,Few things are more costly than free money.,FALSE
SFD-153,Eye of the Herald,,Gear,Order,Common,1,,,[Equip] [Y],"When I move, play a 1[M] Recruit unit token here. [M]+0",,Equipment,,FALSE
SFD-154,Guards!,,Spell,Order,Common,3,,,"[Hidden]
Play a 2[M] Sand Soldier unit token. Then do this: you may pay [Y] to ready it.",,,,"""My empire lives in every grain of sand.""
—Azir",TRUE
SFD-155,Honest Broker,,Unit,Order,Common,2,,2,[Deathknell] — Play a Gold gear token exhausted.,,,Ionia,,FALSE
SFD-156,Laurent Duelist,,Unit,Order,Common,4,,3,[Assault 2],,,Demacia,"""No, my old foil, this isn't revenge—it's épéeback.""",FALSE
SFD-157,Royal Guard,,Unit,Order,Common,4,2,,"When you play me, play a 2[M] Sand Solider unit token here.",,,Shurima,A ruler's true power is in the loyalty they inspire.,FALSE
SFD-158,Sandshifter,,Unit,Order,Common,5,2,6,"When you play me, kill an enemy unit with 3[M] or less.",,,Shurima,"""Recognize your emperor... or the sands will make you.""",FALSE
SFD-159,Trusty Ramhound,,Unit,Order,Common,2,,2,"While you have another unit here, I have +1[M].",,,"Demacia, Elite, Dog",It's always best to have a dog in the fight.,FALSE
SFD-160,Zaun Punk,,Unit,Order,Common,3,,3,"You may kill a friendly gear as an additional cost to play me.
When you play me, if you paid the additional cost, kill a gear.",,,Zaun,The guitar isn't the only thing he shreds.,FALSE
SFD-161,B.F. Sword,,Gear,Order,Uncommon,4,,,[Equip] [Y],[M]+3,,Equipment,It certainly is big.,FALSE
SFD-162,Blood Money,,Spell,Order,Uncommon,2,,,"[Action]
Kill a unit at a battlefield with 2[M] or less. If was an enemy unit, play a Gold gear token exhausted. If it was a friendly unit, play two Gold gear tokens exhausted.",,,,"Even among the unscrupulous, betrayal costs extra.",FALSE
SFD-163,Deathgrip,,Spell,Order,Uncommon,2,,,"[Reaction]
Kill a friendly unit. If you do, give +[M] equal to its Might to another friendly unit this turn.
Draw 1.",,,,"""Death is my kindness.""
—Mordekaiser",TRUE
SFD-164,Drag Under,,Spell,Order,Uncommon,5,1,,"[Action]
I cost [2] less to play from anywhere other than your hand.
Kill a unit at a battlefield.",,,,"""If we hurry, we can reach the oasis by nightfall.""
—Common last words",FALSE
SFD-165,Glasc Mixologist,,Unit,Order,Uncommon,5,1,5,"[Deathknell] — You may play a unit with cost no more than [3] and no more than [A] from your trash, ignoring its cost.",,,Zaun,"""The difference between medicine and poison is the dosage."" —Renata Glasc",FALSE
SFD-166,Rally the Troops,,Spell,Order,Uncommon,2,,,"[Action]
When a friendly unit is played htis turn, buff it.
Draw 1.",,,,"""DEMACIA!""",FALSE
SFD-167,Unsung Hero,,Unit,Order,Uncommon,2,,2,"[Deathknell] — If I was [Mighty], draw 2.",,,"Demacia, Elite",She gave everything she had for the cause—even her legacy.,FALSE
SFD-168,Vanguard Armory,,Gear,Order,Uncommon,7,1,,[E]: Play three 1[M] Recuit unit tokens.,,,,It takes more than a sword and shield to make a soldier. But it's a good start.,FALSE
SFD-169,Altar of Memories,,Gear,Order,Rare,2,,,"When a friendly unit dies, you may exhaust me to draw 1, then put a card from your hand on the top or bottom of your Main Deck.",,,,"""The spider demands sacrifice.""
—Elise",FALSE
SFD-170,"Rek'Sai, Swarm Queen",Champion,Unit,Order,Rare,5,1,5,"When I attack, you may reveal the top 2 cards of your Main Deck. You may banish one, then play it. If it is a unit, you may play it here. Recycle the rest. ",,Rek'Sai,The Void,"""KKRRKRKRRKKRKK!""",TRUE
SFD-171,"Renata Glasc, Industrialist",Champion,Unit,Order,Rare,4,1,4,Your tokens enter ready.,,Renata Glasc,Zaun,"""Nothing's free. All I ask is your loyalty.""",FALSE
SFD-172,Sacred Shears,,Gear,Order,Rare,2,1,,[Equip] [Y],[Deathknell] — Draw 1. [M]+1,,Equipment,,FALSE
SFD-173,"Soraka, Wanderer",Champion,Unit,Order,Rare,4,1,4,"I must be assigned combat damage last.
If another unit you control here would die, if it has less Might than me, instead heal it, exhaust it, and recall it.",,Soraka,Mount Targon,"""Never waste a breath.""",FALSE
SFD-174,Trove Golem,,Unit,Order,Rare,8,2,9,"When you play me, play four Gold gear tokens exhausted.",,,Freljord,As expensive as it is expansive.,FALSE
SFD-175,Undertitan,,Unit,Order,Rare,6,1,5,"When you play me, give your other units +2[M] this turn.
As I'm revealed from your deck, [Add] [2].",,,The Void,,FALSE
SFD-176,"Xin Zhao, Vigilant",Champion,Unit,Order,Rare,3,1,4,"[Tank]
I enter ready if you have two or more other units in your base.",,Xin Zhao,Demacia,"""A Demacian does not retreat!""",FALSE
SFD-177,"Azir, Sovereign",Champion,Unit,Order,Epic,4,,4,"[Accelerate]
When I attack, you may move any number of your token units to this battlefield.",,Azir,"Shurima, Bird","""You need not follow, but you must witness.""",FALSE
SFD-178,Blade of the Ruined King,,Gear,Order,Epic,3,1,,"[Equip] - [Y], Kill a friendly unit",[M]+4,,Equipment,"""You are not the hero of this tale.""
—Viego",FALSE
SFD-179,Corina Veraza,,Unit,Order,Epic,7,1,6,"[Accelerate]
When I move to a battlefield, play three 1[M] Recruit unit tokens here.",,,Zaun,"""I told them that every achievement had its cost. I didn't tell them who would pay it.""",FALSE
SFD-180,"Fiora, Worthy",Champion,Unit,Order,Epic,3,,3,"Whenever a unit you control becomes [Mighty], you may pay [Y] to ready it.",,Fiora,Demacia,"""Strike quickly. Strike deftly.""",FALSE
SFD-181,"Rumble, Mechanized Menace",,Legend,"Fury, Mind",Rare,,,,Your Mechs have [Shield].,,Rumble,,,FALSE
SFD-182,Danger Zone,Signature,Spell,"Fury, Mind",Epic,1,1,,"[Reaction]
[Repeat] [1][C]
Give your Mechs +1[M] this turn.",,Rumble,,,FALSE
SFD-183,"Lucian, Purifier",,Legend,"Fury, Body",Rare,,,,Your Equipment each give [Assault].,,Lucian,,,FALSE
SFD-184,Relentless Pursuit,Signature,Spell,"Fury, Body",Epic,2,1,,"[Action]
Move a friendly unit. You may attach up to one Equipment with the same controller to it. This turn, that unit has ""When I conquer, you may move me to my base.""",,Lucian,,,TRUE
SFD-185,"Draven, Glorious Executioner",,Legend,"Fury, Chaos",Rare,,,,"When you win a combat, draw 1.",,Draven,,,FALSE
SFD-186,Spinning Axe,Signature,Gear,"Fury, Chaos",Epic,2,1,,"[Quick-Draw]
[Equip] [A]
[Temporary]",[M]+3,Draven,Equipment,"""Got axes, need victims.""
—Draven",FALSE
SFD-187,"Rek'Sai, Void Burrower",,Legend,"Fury, Order",Rare,,,,"When you conquer, you may exhaust me to reveal the top 2 cards of your Main Deck. You may banish one, then play it. Recycle the rest.",,Rek'Sai,,,TRUE
SFD-188,Void Rush,Signature,Spell,"Fury, Order",Epic,2,1,,"Reveal the top 2 cards of your Main Deck. You may banish one, then play it, reducing its cost by [2]. Draw any you didn't banish.",,Rek'Sai,,,TRUE
SFD-189,"Ornn, Fire Below the Mountain",,Legend,"Calm, Mind",Rare,,,,[E]: [Reaction] — [Add] [A]. Use only to play gear or use gear abilities.,,Ornn,,,FALSE
SFD-190,Forgefire Cape,Signature,Gear,"Calm, Mind",Epic,4,2,,"[Unique]
[Equip] [A]","When I attack or defend, deal 2 to all enemy units here. [M]+3",Ornn,,,FALSE
SFD-191,Rabadon's Deathcrown,Signature,Gear,"Calm, Mind",Epic,4,2,,"[Unique]
[Equip] [A]",Your spells and abilities deal 1 Bonus Damage. [M]+3,Ornn,,,FALSE
SFD-192,Shurelya's Requiem,Signature,Gear,"Calm, Mind",Epic,4,2,,"[Unique]
[Equip] [A]
When you play this, ready your units.",Your units here have [Ganking]. [M]+2,Ornn,,,FALSE
SFD-193,"Jax, Grandmaster at Arms",,Legend,"Calm, Body",Rare,,,,"[1], [E]: Attach a detached Equipment you control to a unit you control.
[E]. Attach an attached Equipment you control to a unit you control.",,Jax,,,FALSE
SFD-194,Counter Strike,Signature,Spell,"Calm, Body",Epic,2,1,,"[Reaction]
Choose a unit. The next time that unit would be dealt damage this turn, prevent it. Draw 1.",,Jax,,"""That all you got?!""
—Jax",FALSE
SFD-195,"Irelia, Blade Dancer",,Legend,"Calm, Chaos",Rare,,,,"When you choose a friendly unit, you may exhaust me and pay [A] to ready it.
When you conquer, you may pay [1] to ready me.",,Irelia,,,FALSE
SFD-196,Defiant Dance,Signature,Spell,"Calm, Chaos",Epic,1,1,,"[Reaction]
Give a unit +2[M] this turn and another unit -2[M] this turn.",,Irelia,,"""I am both the tranquil sea and the tempest.""
—Irelia",FALSE
SFD-197,"Azir, Emperor of the Sands",,Legend,"Calm, Order",Rare,,,,"Your Sand Soldiers have [Weaponmaster].
[1], [E]: Play a 2[M] Sand Soldier unit token to your base. Use only if you've played an Equipment this turn.",,Azir,,,FALSE
SFD-198,Arise!,Signature,Spell,"Calm, Order",Epic,6,1,,Play a 2[M] Sand Soldier unit token for each Equipment you control. Then do this: Ready up to two of them.,,Azir,,"""The order is given!""
—Azir",TRUE
SFD-199,"Ezreal, Prodigal Explorer",,Legend,"Mind, Chaos",Rare,,,,[E]: [Reaction] — Draw 1. Use only if you've chosen enemy units and/or gear twice this turn with spells or unit abilities.,,Ezreal,,,FALSE
SFD-200,Arcane Shift,Signature,Spell,"Mind, Chaos",Epic,3,1,,"[Action]
Banish a friendly unit, then its controller plays it, ignoring its cost. Deal 3 to an enemy unit at a battlefield. Banish this.",,Ezreal,,"""Hah! I can blink and still not miss.""
—Ezreal",FALSE
SFD-201,"Renata Glasc, Chem-Baroness",,Legend,"Mind, Order",Rare,,,,"When you or an ally hold, you may exhaust me to play a Gold gear token exhausted.
While your score is within 3 points of the Victory Score, your Gold [Add] an additional [1].",,Renata Glasc,,,FALSE
SFD-202,Hostile Takeover,Signature,Spell,"Mind, Order",Epic,5,2,,"[Hidden]
Take control of an enemy unit at a battlefield. Ready it.
Lose control of that unit and recall it at end of turn.",,Renata Glasc,,,FALSE
SFD-203,"Sivir, Battle Mistress",,Legend,"Body, Chaos",Rare,,,,"When you recycle a rune, you may exhaust me to play a Gold gear token exhausted.
When one or more enemy units die, ready me.",,Sivir,,,FALSE
SFD-204,On the Hunt,Signature,Spell,"Body, Chaos",Epic,1,2,,Ready your units.,,Sivir,,"""Step light, strike hard.""
—Sivir",FALSE
SFD-205,"Fiora, Grand Duelist",,Legend,"Body, Order",Rare,,,,"When one of your units becomes [Mighty], you may exhaust me to channel 1 rune exhausted.",,Fiora,,,FALSE
SFD-206,Riposte,Signature,Spell,"Body, Order",Epic,2,2,,"[Reaction]
Choose a friendly unit and a spell. Counter that spell give that unit +[M] equal to the spell's Energy cost this turn.",,Fiora,,"""Too slow!"" —Fiora",FALSE
SFD-207,Emperor's Dais,,Battlefield,,Uncommon,,,,"When you conquer here, you may pay [1] and return a unit you control here to its owner's hand to play a 2[M] Sand Soldier unit token here.",,,,,TRUE
SFD-208,Forge of the Fluft,,Battlefield,,Uncommon,,,,"While you control this battlefield, friendly legends have ""[E]: Attach an Equipment you control to a unit you control.""",,,,,FALSE
SFD-209,Forgotten Monument,,Battlefield,,Uncommon,,,,Players cannot score here until their third turn.,,,,,FALSE
SFD-210,Hall of Legends,,Battlefield,,Uncommon,,,,"When you conquer here, you may pay [1] to ready your legend.",,,,,FALSE
SFD-211,Marai Spire,,Battlefield,,Uncommon,,,,"While you control this battlefield, friendly [Repeat] costs cost [1] less.",,,,,FALSE
SFD-212,Minefield,,Battlefield,,Uncommon,,,,"When you conquer here, put the top 2 cards of your Main Deck into your trash.",,,,,FALSE
SFD-213,Ornn's Forge,,Battlefield,,Uncommon,,,,"While you control this battlefield, the first friendly non-token gear played each turn costs [1] less.",,,,,FALSE
SFD-214,Power Nexus,,Battlefield,,Uncommon,,,,"When you hold here, you may pay [A][A][A][A] to score 1 point.",,,,,FALSE
SFD-215,Ravenbloom Conservatory,,Battlefield,,Uncommon,,,,"When you defend here, reveal the top card of your Main Deck. If it's a spell, put it in your hand. Otherwise, recycle it.",,,,,FALSE
SFD-216,Rockfall Path,,Battlefield,,Uncommon,,,,Units can't be played here.,,,,,FALSE
SFD-217,Seat of Power,,Battlefield,,Uncommon,,,,"When you conquer here, draw 1 for each other battlefield you or allies control.",,,,,FALSE
SFD-218,Sunken Temple,,Battlefield,,Uncommon,,,,"When you conquer here with one or more [Mighty] units, you may [1] to draw 1.",,,,,FALSE
SFD-219,The Papertree,,Battlefield,,Uncommon,,,,"When you hold here, each player channels 1 rune exhausted.",,,,,FALSE
SFD-220,Treasure Hoard,,Battlefield,,Uncommon,,,,"When you conquer here, you may pay [1] to play a Gold gear token exhausted.",,,,,FALSE
SFD-221,Veiled Temple,,Battlefield,,Uncommon,,,,"When you conquer here, you may ready a friendly gear. If it's an Equipment, you may detach it.",,,,,FALSE
SFD-R01,Fury Rune,,Rune,Fury,Common,,,,,,,,,FALSE
SFD-R02,Calm Rune,,Rune,Calm,Common,,,,,,,,,FALSE
SFD-R03,Mind Rune,,Rune,Mind,Common,,,,,,,,,FALSE
SFD-R04,Body Rune,,Rune,Body,Common,,,,,,,,,FALSE
SFD-R05,Chaos Rune,,Rune,Chaos,Common,,,,,,,,,FALSE
SFD-R06,Order Rune,,Rune,Order,Common,,,,,,,,,FALSE
SFD-T01,Mech,Token,Unit,,Common,,,3,,,,,"Sure, they're loud, messy, and unreliable. But so are people, when you get down to it.",FALSE
SFD-T02,Sand Soldier,Token,Unit,,Common,,,2,,,,,They do not rest. They do not hesitate. And they do not yield.,FALSE
SFD-T03,Gold,Token,Gear,,Common,,,,"Kill this, [E]: [Reaction] - [Add] [A].",,,,,FALSE
